Revision 02/04/2026,,,,,,,,
Title,Start Date,Start Time,Description,Location,Contact,Extra Info,RC Fleet,Race Committee
Race Committee Training,"Sunday, February 08, 2026",10:00 AM,All,MPYC,Mark Chaffey,BOATS: DW,NA,
Race Committee Training make-up,"Saturday, February 14, 2026",10:00 AM,All,MPYC,Mark Chaffey,BOATS: DW,NA,
S22 Race Clinic,"Sunday, February 15, 2026",9:00 AM,various,MPYC,Heidi Hall,BOATS: 2 x Chase,TBD,
Tune-Up Race-all classes,"Sunday, February 22, 2026",1:00 PM,All,MPYC,,BOATS: DW,PHRF,
Bob Furney Memorial Race,"Sunday, March 01, 2026",1:00 PM,Shields,MPYC,,Rabbit Start,,
Shields Racing Clinic,"Saturday, March 07, 2026",TBD,Shields,MPYC,Jerry Stratton,,,
PHRF Spring 1 & 2 (DayLight Savings Time Starts),"Sunday, March 08, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW & Chase,One Design,
One Design Spring 1 & 2,"Sunday, March 15, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Sunset Series - Rabbit Start (not scored),"Wednesday, March 18, 2026",6:00 PM,All,MPYC,,NA,NA,
Sunset Series 1,"Wednesday, March 25, 2026",6:00 PM,All,MPYC,,Boats: DW,All,
Safety at Sea Class ,"Sunday, March 29, 2026",TBD,All,,,,,
Sunset Series 2,"Wednesday, April 01, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Sunset Series 3,"Thursday, April 09, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Ano Nuevo Race,"Saturday, April 11, 2026",11:55 AM,PHRF,SCYC-Ano-MPYC,Mark Chaffey,NA,NA,
One Design Spring 3 & 4,"Sunday, April 12, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Sunset Series 4,"Wednesday, April 15, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Lefler Race,"Sunday, April 19, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW,One Design,
Sunset Series 5,"Wednesday, April 22, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Otter Cup Invitational (MBYRA Race #1),"Saturday, April 25, 2026",12:30 PM,PHRF,MPYC to EYC,EYC/MPYC,BOATS: DW,One Design,
Sunset Series 6,"Wednesday, April 29, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
PHRF Spring 3 & 4,"Sunday, May 03, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW & Chase,One Design,
Sunset Series 7,"Wednesday, May 06, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Around Monterey Bay (MBYRA Race #2),"Saturday, May 09, 2026",11:00 AM,PHRF,MPYC-EYC-SCYC,MPYC,BOATS: DW,One Design,
Fiasco Race!,"Wednesday, May 13, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
One Design Spring 5 & 6,"Sunday, May 17, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Sunset Series 8,"Wednesday, May 20, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Spinnaker Cup/California Offshore Race Week SF-MPYC,"Saturday, May 23, 2026",10:00 AM,PHRF,MPYC,MPYC,BOATS: DW & Chase,,
California Offshore Race Week MPYC-SBYC,"Monday, May 25, 2026",?,PHRF,MPYC,,BOATS: DW,,
Sunset Series 9,"Wednesday, May 27, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Ocean Great Lakes,"Friday, May 29, 2026",TBD,Shields,MPYC,Jim Wirz,BOATS. DW & 2 Chase,Dick Clark,
